day,afterhour_openprice-0,afterhour_openprice-1,afterhour_openprice-2,afterhour_openprice-3,afterhour_dailyhigh-0,afterhour_dailyhigh-1,afterhour_dailyhigh-2,afterhour_dailyhigh-3,afterhour_dailylow-0,afterhour_dailylow-1,afterhour_dailylow-2,afterhour_dailylow-3,afterhour_closeprice-0,afterhour_closeprice-1,afterhour_closeprice-2,afterhour_closeprice-3,volume-0,volume-1,volume-2,volume-3,day_openprice-0,day_openprice-1,day_openprice-2,day_openprice-3,day_dailyhigh-0,day_dailyhigh-1,day_dailyhigh-2,day_dailyhigh-3,day_dailylow-0,day_dailylow-1,day_dailylow-2,day_dailylow-3,day_volume-0,day_volume-1,day_volume-2,day_volume-3,day_settlementprice-0,day_settlementprice-1,day_settlementprice-2,day_settlementprice-3,day_changeinsettlementprice-0,day_changeinsettlementprice-1,day_changeinsettlementprice-2,day_changeinsettlementprice-3
DMR_Fut_20130902,21547.0,21524,21525.0,21475,21571.0,21524,21525.0,21476,21434.0,21410,21420.0,21378,3885.0,27,11.0,5,21650.0,21724,21724.0,21571,22192.0,22124,22130,22111,21650.0,21724,21724,21571,68848.0,347,145,83,22156.0,22124,22130,22080,588.0,583,587.0,587,23450.0,22124,23038.0,22520
DMR_Fut_20130903,22139.0,22122,22132.0,22098,22180.0,22143,22150.0,22099,22132.0,22122,22131.0,22080,1432.0,5,13.0,5,22195.0,22160,22200.0,22162,22408.0,22377,22365,22310,22171.0,22152,22200,22150,61132.0,350,134,37,22315.0,22289,22291,22241,159.0,165,161.0,161,23450.0,22377,23038.0,22520
DMR_Fut_20130904,22291.0,22180,22259.0,22140,22291.0,22236,22259.0,22200,22189.0,22168,22180.0,22140,4648.0,23,8.0,15,22133.0,22111,22211.0,22011,22387.0,22350,22360,22310,22065.0,22047,22050,22000,63013.0,544,789,43,22325.0,22296,22302,22253,10.0,7,11.0,12,23450.0,22377,23038.0,22520
DMR_Fut_20130905,22296.0,22271,22267.0,22198,22385.0,22361,22360.0,22309,22243.0,22230,22257.0,22198,2926.0,6,10.0,2,22456.0,22459,22431.0,22437,22710.0,22682,22690,22630,22430.0,22415,22431,22437,74795.0,903,1504,251,22620.0,22600,22603,22551,295.0,304,301.0,298,23450.0,22682,23038.0,22630
DMR_Fut_20130906,22620.0,22563,22558.0,22510,22648.0,22623,22609.0,22556,22550.0,22554,22556.0,22495,3847.0,17,10.0,24,22600.0,22575,22622.0,22518,22718.0,22688,22680,22650,22559.0,22540,22592,22513,58439.0,394,3195,421,22692.0,22673,22672,22624,72.0,73,69.0,73,23450.0,22688,23038.0,22650
DMR_Fut_20130909,22685.0,22668,22680.0,22648,22880.0,22853,22860.0,22800,22640.0,22648,22632.0,22615,5563.0,64,19.0,11,22850.0,22838,22858.0,22820,22912.0,22871,22888,22820,22683.0,22667,22677,22621,51910.0,846,513,111,22757.0,22734,22739,22692,65.0,61,67.0,68,23450.0,22871,23038.0,22820
DMR_Fut_20130910,22760.0,22729,22795.0,22768,22847.0,22825,22795.0,22768,22726.0,22725,22795.0,22768,1705.0,9,1.0,1,22965.0,22935,22895.0,22860,23000.0,22959,22960,22910,22838.0,22820,22845,22790,54836.0,1142,945,104,22951.0,22927,22934,22885,194.0,193,195.0,193,23450.0,22959,23038.0,22910
DMR_Fut_20130911,22954.0,22930,22954.0,22907,23140.0,23113,23105.0,23071,22944.0,22928,22954.0,22907,3520.0,112,16.0,27,23070.0,23050,23032.0,23000,23138.0,23085,23093,23061,22870.0,22850,22870,22816,56103.0,2112,207,75,22969.0,22945,22951,22904,18.0,18,17.0,19,23450.0,23113,23105.0,23071
DMR_Fut_20130912,22963.0,22893,22893.0,22856,22974.0,22928,22935.0,22856,22909.0,22890,22893.0,22853,3791.0,11,8.0,2,22996.0,22949,22957.0,22910,23080.0,23048,23058,23000,22930.0,22919,22939,22880,49953.0,1167,344,14,22981.0,22961,22966,22917,12.0,16,15.0,13,23450.0,23113,23105.0,23071
DMR_Fut_20130913,22968.0,22936,22940.0,0,23019.0,22997,22999.0,0,22927.0,22924,22938.0,0,2282.0,70,21.0,0,22933.0,22970,22938.0,22907,22992.0,22970,22957,22910,22822.0,22803,22815,22780,52166.0,2675,274,113,22933.0,22914,22919,22871,-48.0,-47,-47.0,-46,23450.0,23113,23105.0,23071
DMR_Fut_20130916,22921.0,22906,22911.0,22850,22976.0,22955,22942.0,22900,22891.0,22901,22911.0,22850,1920.0,14,5.0,2,23239.0,23200,23312.0,23201,23336.0,23314,23317,23275,23206.0,23198,23200,23170,55735.0,5573,455,172,23326.0,23312,23317,23270,393.0,398,398.0,399,23450.0,23314,23317.0,23275
DMR_Fut_20130917,23328.0,23300,23324.0,23265,23373.0,23350,23356.0,23297,23306.0,23299,23313.0,23258,1549.0,34,9.0,10,23250.0,23254,23260.0,23200,23287.0,23260,23268,23200,23148.0,23133,23149,23100,52498.0,4914,148,59,23191.0,23175,23183,23135,-135.0,-137,-134.0,-135,23450.0,23350,23356.0,23297
DMR_Fut_20130918,23200.0,23161,23170.0,23150,23248.0,23226,23230.0,23177,23173.0,23157,23167.0,23150,1543.0,46,17.0,4,23295.0,23250,23263.0,23100,23299.0,23257,23270,23155,23095.0,23083,23088,23050,50153.0,2725,585,29,23200.0,23182,23191,23142,9.0,7,8.0,7,23450.0,23350,23356.0,23297
DMR_Fut_20130919,23198.0,23181,23212.0,23103,23235.0,23206,23212.0,23103,23140.0,23128,23142.0,23103,2034.0,163,40.0,1,23568.0,23567,23550.0,23519,23620.0,23600,23594,23550,23500.0,23489,23508,23454,51253.0,7702,789,100,23559.0,23546,23558,23508,359.0,364,367.0,366,23620.0,23600,23594.0,23550
