day,afterhour_openprice-0,afterhour_openprice-1,afterhour_openprice-2,afterhour_openprice-3,afterhour_dailyhigh-0,afterhour_dailyhigh-1,afterhour_dailyhigh-2,afterhour_dailyhigh-3,afterhour_dailylow-0,afterhour_dailylow-1,afterhour_dailylow-2,afterhour_dailylow-3,afterhour_closeprice-0,afterhour_closeprice-1,afterhour_closeprice-2,afterhour_closeprice-3,volume-0,volume-1,volume-2,volume-3,day_openprice-0,day_openprice-1,day_openprice-2,day_openprice-3,day_dailyhigh-0,day_dailyhigh-1,day_dailyhigh-2,day_dailyhigh-3,day_dailylow-0,day_dailylow-1,day_dailylow-2,day_dailylow-3,day_volume-0,day_volume-1,day_volume-2,day_volume-3,day_settlementprice-0,day_settlementprice-1,day_settlementprice-2,day_settlementprice-3,day_changeinsettlementprice-0,day_changeinsettlementprice-1,day_changeinsettlementprice-2,day_changeinsettlementprice-3
DMR_Fut_20130923,23560.0,23545,23551.0,23495,23593.0,23574,23558.0,23495,23501.0,23490,23515.0,23473,1652.0,123,20.0,7,23420.0,23400,23457.0,23390,23509.0,23495,23484,23435,23289.0,23280,23300,23250,47496.0,11209,689,76,23356.0,23345,23360,23310,-203.0,-201,-198.0,-198,23620.0,23600,23594.0,23550
DMR_Fut_20130924,23353.0,23330,23311.0,23258,23369.0,23354,23361.0,23258,23303.0,23291,23311.0,23258,2603.0,1128,36.0,1,23292.0,23252,23328.0,23267,23355.0,23339,23345,23280,23090.0,23081,23092,23060,94342.0,41065,1560,80,23193.0,23185,23199,23153,-163.0,-160,-161.0,-157,23620.0,23600,23594.0,23550
DMR_Fut_20130925,23200.0,23198,23183.0,23140,23248.0,23242,23239.0,23140,23146.0,23143,23176.0,23140,2974.0,1175,98.0,1,23228.0,23200,23200.0,23079,23286.0,23282,23291,23232,23155.0,23151,23169,23079,85754.0,52094,810,198,23166.0,23159,23170,23130,-27.0,-26,-29.0,-23,23620.0,23600,23594.0,23550
DMR_Fut_20130926,23180.0,23191,23219.0,23175,23218.0,23210,23219.0,23175,23107.0,23101,23119.0,23080,4027.0,1503,84.0,4,23123.0,23132,23161.0,23116,23254.0,23247,23244,23196,23045.0,23040,23054,23020,76567.0,54425,1206,136,23136.0,23140,23152,23108,-30.0,-19,-18.0,-22,23620.0,23600,23594.0,23550
DMR_Fut_20130927,23122.0,23128,23157.0,23155,23221.0,23231,23239.0,23185,23111.0,23116,23157.0,23135,2076.0,1701,39.0,3,23228.0,23230,23251.0,23210,23244.0,23365,23363,23330,23120.0,23132,23163,23122,13528.0,62491,668,80,23182.0,23253,23268,23220,46.0,113,116.0,112,23620.0,23600,23594.0,23550
DMR_Fut_20130930,,23253,,23250,,23253,,23250,,23105,,23125,,3036,,31,,22984,22989.0,23000,,23013,22989,23000,,22811,22854,22850,,42731,428,375,,22883,22885,22907,,-370,,-361,,23600,22989.0,23594
DMR_Fut_20131002,22894.0,22850,22890.0,22820,22895.0,22850,22901.0,22820,22742.0,22780,22790.0,22722,2404.0,10,53.0,23,22949.0,22980,22980.0,22983,23148.0,23116,23138,23110,22905.0,22920,22932,22904,49541.0,235,230,508,22975.0,22977,22990,22947,92.0,92,83.0,89,23600.0,23116,23594.0,23550
DMR_Fut_20131003,22984.0,22975,22985.0,22928,23025.0,22993,23033.0,22993,22940.0,22950,22973.0,22918,2782.0,27,16.0,18,23093.0,23100,23144.0,23060,23254.0,23240,23255,23210,23062.0,23100,23139,23060,39000.0,271,252,64,23180.0,23186,23199,23155,205.0,209,209.0,208,23600.0,23240,23594.0,23550
DMR_Fut_20131004,23182.0,23217,23190.0,23142,23244.0,23217,23245.0,23200,23102.0,23131,23141.0,23080,2660.0,7,30.0,14,23023.0,23000,23053.0,22990,23160.0,23147,23164,23100,22971.0,22978,23001,22955,41477.0,908,247,27,23099.0,23100,23115,23073,-81.0,-86,-84.0,-82,23600.0,23240,23594.0,23550
DMR_Fut_20131007,23122.0,23136,23154.0,23130,23248.0,23244,23250.0,23185,23115.0,23136,23142.0,23130,2190.0,30,54.0,3,23166.0,23150,23108.0,23121,23166.0,23159,23109,23121,22861.0,22869,22882,22860,46112.0,679,267,85,22911.0,22915,22928,22883,-188.0,-185,-187.0,-190,23600.0,23244,23594.0,23550
DMR_Fut_20131008,22909.0,22918,22935.0,22896,23039.0,23033,23048.0,23000,22895.0,22918,22935.0,22873,2267.0,36,50.0,11,22875.0,22878,22917.0,22890,23224.0,23224,23234,23166,22860.0,22878,22904,22890,56486.0,648,474,48,23163.0,23167,23179,23134,252.0,252,251.0,251,23600.0,23244,23594.0,23550
DMR_Fut_20131009,23156.0,23160,23188.0,23070,23175.0,23171,23188.0,23070,23089.0,23100,23141.0,23070,2750.0,19,8.0,5,22983.0,22999,23000.0,22964,23060.0,23061,23070,23026,22948.0,22959,22973,22928,36281.0,469,174,64,23027.0,23030,23040,23001,-136.0,-137,-139.0,-133,23600.0,23244,23594.0,23550
DMR_Fut_20131010,23038.0,23054,23055.0,22951,23057.0,23055,23064.0,22968,22928.0,22943,22956.0,22922,3211.0,28,46.0,11,23039.0,23067,23070.0,22901,23105.0,23090,23099,22915,22684.0,22725,22701,22699,57478.0,665,392,79,22956.0,22952,22964,22929,-71.0,-78,-76.0,-72,23600.0,23244,23594.0,23550
DMR_Fut_20131011,22950.0,22980,22965.0,22997,23176.0,23178,23175.0,23110,22941.0,22980,22963.0,22997,3261.0,76,74.0,5,23300.0,23365,23413.0,23330,23386.0,23388,23413,23350,23201.0,23211,23219,23200,52492.0,619,434,14,23235.0,23236,23247,23210,279.0,284,283.0,281,23600.0,23388,23594.0,23550
DMR_Fut_20131015,23239.0,23250,23261.0,23238,23353.0,23355,23368.0,23315,23223.0,23227,23253.0,23238,2647.0,58,42.0,9,23482.0,23456,23474.0,23410,23490.0,23456,23474,23425,23256.0,23270,23301,23262,35891.0,266,165,192,23342.0,23344,23356,23317,107.0,108,109.0,107,23600.0,23456,23594.0,23550
DMR_Fut_20131016,23346.0,23361,23360.0,23322,23386.0,23364,23377.0,23328,23317.0,23328,23348.0,23305,2121.0,23,7.0,10,23397.0,23357,23368.0,23325,23397.0,23359,23370,23325,23080.0,23088,23101,23100,49774.0,1562,527,50,23210.0,23217,23229,23188,-132.0,-127,-127.0,-129,23600.0,23456,23594.0,23550
DMR_Fut_20131017,23198.0,23218,23201.0,23164,23333.0,23335,23340.0,23164,23165.0,23184,23201.0,23144,2843.0,187,40.0,2,23351.0,23415,23388.0,23323,23380.0,23415,23390,23323,22940.0,22948,22972,23040,50051.0,1515,559,28,22961.0,22964,22977,22940,-249.0,-253,-252.0,-248,23600.0,23456,23594.0,23550
DMR_Fut_20131018,22945.0,22984,23000.0,23020,23113.0,23108,23128.0,23080,22945.0,22951,22968.0,23020,4128.0,45,89.0,7,23245.0,23193,23205.0,23200,23339.0,23339,23320,23313,23161.0,23166,23189,23180,53621.0,1385,196,74,23308.0,23308,23320,23280,347.0,344,343.0,340,23600.0,23456,23594.0,23550
DMR_Fut_20131021,23303.0,23317,23310.0,23322,23407.0,23405,23420.0,23369,23286.0,23291,23310.0,23304,3151.0,35,21.0,10,23454.0,23400,23430.0,23397,23530.0,23518,23509,23500,23331.0,23344,23357,23350,52288.0,6050,1291,80,23401.0,23410,23419,23379,93.0,102,99.0,99,23600.0,23518,23594.0,23550
DMR_Fut_20131022,23425.0,23400,23409.0,23377,23447.0,23451,23438.0,23377,23377.0,23400,23409.0,23377,2092.0,169,25.0,1,23324.0,23330,23370.0,23302,23378.0,23382,23388,23326,23248.0,23260,23280,23244,47159.0,6552,224,19,23308.0,23318,23330,23287,-93.0,-92,-89.0,-92,23600.0,23518,23594.0,23550
DMR_Fut_20131023,23312.0,23314,23321.0,23355,23552.0,23555,23570.0,23512,23291.0,23301,23321.0,23355,4415.0,309,64.0,11,23450.0,23458,23480.0,23410,23530.0,23539,23533,23500,22948.0,22958,22972,22944,95178.0,20425,1320,188,22990.0,23000,23015,22972,-318.0,-318,-315.0,-315,23600.0,23555,23594.0,23550
DMR_Fut_20131024,23006.0,23015,23010.0,22914,23015.0,23021,23010.0,22923,22875.0,22885,22901.0,22860,4092.0,254,76.0,8,22941.0,22950,22968.0,22946,22960.0,22960,22968,22946,22738.0,22742,22760,22739,88762.0,14214,573,339,22794.0,22795,22808,22769,-196.0,-205,-207.0,-203,23600.0,23555,23594.0,23550
DMR_Fut_20131025,22797.0,22810,22849.0,22794,22855.0,22860,22864.0,22794,22721.0,22730,22744.0,22702,3323.0,511,21.0,9,22710.0,22773,22750.0,22718,22822.0,22825,22850,22718,22610.0,22612,22638,22592,87009.0,32858,1807,260,22662.0,22662,22672,22640,-132.0,-133,-136.0,-129,23600.0,23555,23594.0,23550
DMR_Fut_20131028,22665.0,22667,22728.0,22682,22735.0,22739,22736.0,22682,22662.0,22667,22709.0,22682,2371.0,650,30.0,1,22750.0,22735,22753.0,22758,22849.0,22850,22861,22818,22721.0,22728,22753,22728,82017.0,47915,676,320,22781.0,22782,22796,22754,119.0,120,124.0,114,23600.0,23555,23594.0,23550
DMR_Fut_20131029,22780.0,22771,22799.0,22724,22835.0,22830,22841.0,22724,22739.0,22740,22760.0,22724,3941.0,2259,81.0,1,22720.0,22740,22745.0,22725,22998.0,23003,23010,22949,22720.0,22718,22745,22725,101939.0,73522,1099,347,22867.0,22872,22886,22839,86.0,90,90.0,85,23600.0,23555,23594.0,23550
DMR_Fut_20131030,22889.0,22897,22896.0,22872,22927.0,22934,22942.0,22888,22870.0,22873,22896.0,22872,1970.0,1155,52.0,4,22988.0,22986,22995.0,22731,23088.0,23325,23335,23288,22802.0,22942,22967,22731,11311.0,64909,667,152,23067.0,23292,23309,23260,200.0,420,423.0,421,23600.0,23555,23594.0,23550
DMR_Fut_20131031,,23300,23315.0,23254,,23311,23317.0,23255,,23221,23249.0,23200,,2931,76.0,6,,23180,23196.0,23106,,23283,23292,23240,,23111,23147,23088,,46170,483,228,,23242,23256,23210,,-50,-53.0,-50,,23555,23594.0,23550
DMR_Fut_20131101,23252.0,23223,23230.0,22739,23280.0,23280,23230.0,22739,23165.0,23176,23141.0,22729,2326.0,29,6.0,2,23180.0,23200,23189.0,22824,23355.0,23360,23313,22828,23160.0,23188,23141,22771,44941.0,277,42,22,23254.0,23270,23227,22813,12.0,14,17.0,21,23555.0,23594,23550.0,23094
DMR_Fut_20131104,23251.0,23283,23265.0,22814,23330.0,23340,23265.0,22814,23242.0,23270,23265.0,22811,2177.0,59,10.0,2,23308.0,23320,23282.0,22910,23390.0,23403,23330,22910,23157.0,23180,23161,22893,46898.0,1051,147,56,23170.0,23187,23143,22726,-84.0,-83,-84.0,-87,23555.0,23594,23550.0,23094
DMR_Fut_20131105,23199.0,23220,23197.0,0,23295.0,23303,23257.0,0,23188.0,23215,23197.0,0,2507.0,59,6.0,0,23295.0,23310,23300.0,22633,23344.0,23310,23301,22670,22911.0,22949,22951,22533,62957.0,1126,83,35,23009.0,23024,22977,22558,-161.0,-163,-166.0,-168,23555.0,23594,23550.0,23094
DMR_Fut_20131106,22994.0,23003,22930.0,22490,22996.0,23005,22933.0,22496,22915.0,22934,22898.0,22480,2591.0,146,22.0,3,23055.0,23045,22910.0,22511,23123.0,23114,23075,22660,22916.0,22934,22910,22511,48916.0,805,134,26,23040.0,23052,23013,22595,31.0,28,36.0,37,23555.0,23594,23550.0,23094
DMR_Fut_20131107,23032.0,23050,23012.0,0,23080.0,23085,23013.0,0,23025.0,23048,23012.0,0,1551.0,46,2.0,0,23078.0,23099,23002.0,22531,23103.0,23099,23002,22531,22800.0,22818,22780,22382,53615.0,804,180,14,22815.0,22829,22787,22371,-225.0,-223,-226.0,-224,23555.0,23594,23550.0,23094
DMR_Fut_20131108,22822.0,22835,22793.0,22376,22920.0,22928,22880.0,22460,22770.0,22788,22772.0,22343,2885.0,120,11.0,5,22679.0,22670,22700.0,22286,22790.0,22791,22727,22288,22650.0,22666,22633,22286,44818.0,710,53,2,22744.0,22753,22716,22300,-71.0,-76,-71.0,-71,23555.0,23594,23550.0,23094
DMR_Fut_20131111,22740.0,22768,22750.0,22323,22789.0,22790,22750.0,22323,22623.0,22638,22600.0,22187,3268.0,203,19.0,12,22773.0,22817,22715.0,22240,23149.0,23150,23095,22700,22674.0,22687,22664,22240,62779.0,3125,63,19,23028.0,23042,23000,22583,284.0,289,284.0,283,23555.0,23594,23550.0,23094
DMR_Fut_20131112,23022.0,23043,23008.0,22580,23049.0,23056,23016.0,22584,22982.0,23026,23000.0,22580,1679.0,31,4.0,2,23024.0,23048,23047.0,22545,23104.0,23106,23063,22605,22826.0,22845,22830,22390,62584.0,2650,104,40,22865.0,22884,22840,22423,-163.0,-158,-160.0,-160,23555.0,23594,23550.0,23094
DMR_Fut_20131113,22850.0,22864,22816.0,22398,22864.0,22872,22816.0,22404,22823.0,22840,22812.0,22386,1563.0,130,3.0,6,22773.0,22711,22700.0,22183,22773.0,22711,22700,22183,22426.0,22436,22399,21976,66691.0,2825,505,269,22509.0,22518,22471,22051,-356.0,-366,-369.0,-372,23555.0,23594,23550.0,23094
DMR_Fut_20131114,22493.0,22498,22378.0,22015,22500.0,22498,22382.0,22015,22390.0,22407,22375.0,21950,3149.0,155,9.0,5,22606.0,22597,22576.0,22100,22654.0,22660,22608,22180,22485.0,22500,22480,22049,48779.0,1950,95,162,22546.0,22555,22507,22082,37.0,37,36.0,31,23555.0,23594,23550.0,23094
DMR_Fut_20131115,22565.0,22590,22500.0,22093,22581.0,22590,22500.0,22093,22518.0,22535,22500.0,22060,2489.0,82,1.0,6,22653.0,22666,22653.0,22223,23042.0,23048,23000,22566,22653.0,22665,22625,22223,66727.0,3078,101,107,23003.0,23014,22969,22547,457.0,459,462.0,465,23555.0,23594,23550.0,23094
DMR_Fut_20131118,23000.0,23002,23050.0,22600,23287.0,23333,23242.0,22600,22980.0,22995,23050.0,22600,4774.0,280,12.0,1,23376.0,23340,23419.0,22950,23737.0,23750,23706,23209,23356.0,23340,23369,22950,91304.0,6151,427,198,23669.0,23688,23642,23219,666.0,674,673.0,672,23737.0,23750,23706.0,23209
DMR_Fut_20131119,23669.0,23667,23611.0,23170,23943.0,23950,23898.0,23440,23618.0,23635,23611.0,23170,5458.0,403,34.0,9,23722.0,23700,23785.0,23394,23908.0,23920,23841,23424,23656.0,23675,23644,23237,63354.0,4529,191,38,23754.0,23763,23723,23303,85.0,75,81.0,84,23943.0,23950,23898.0,23440
DMR_Fut_20131120,23720.0,23747,23690.0,23343,23830.0,23845,23800.0,23365,23714.0,23738,23690.0,23332,2124.0,187,8.0,9,23794.0,23801,23770.0,23404,23877.0,23893,23842,23422,23715.0,23734,23718,23288,46141.0,7217,137,177,23757.0,23775,23730,23311,3.0,12,7.0,8,23943.0,23950,23898.0,23440
DMR_Fut_20131121,23760.0,23783,23742.0,23298,23800.0,23817,23742.0,23331,23696.0,23718,23718.0,23298,2060.0,130,4.0,4,23709.0,23759,23690.0,23190,23735.0,23759,23690,23231,23523.0,23545,23503,23120,55735.0,9267,166,53,23590.0,23613,23565,23146,-167.0,-162,-165.0,-165,23943.0,23950,23898.0,23440
DMR_Fut_20131122,23601.0,23620,23607.0,23198,23655.0,23675,23617.0,23198,23593.0,23614,23607.0,23188,2044.0,272,4.0,2,23737.0,23750,23705.0,23300,23795.0,23808,23766,23334,23668.0,23688,23665,23249,48607.0,8169,55,26,23733.0,23753,23705,23288,143.0,140,140.0,142,23943.0,23950,23898.0,23440
DMR_Fut_20131125,23727.0,23751,23710.0,23275,23756.0,23770,23728.0,23307,23708.0,23731,23695.0,23275,23738.0,23760,23698.0,23307,2001.0,206,7.0,2,23959.0,23967,23859,23448,23960.0,23980,23859,23448,23701.0,23725,23680,23288,70720.0,30902,115,22,23744.0,23777,23725.0,23304,11.0,24,20.0,16
DMR_Fut_20131126,23740.0,23765,23733.0,23323,23784.0,23810,23763.0,23340,23697.0,23725,23678.0,23322,23713.0,23740,23687.0,23340,2906.0,1585,25.0,11,23690.0,23703,23710,23315,23778.0,23808,23760,23334,23673.0,23700,23691,23278,92419.0,61922,283,120,23729.0,23764,23726.0,23304,-15.0,-13,1.0,0
DMR_Fut_20131127,23725.0,23751,23716.0,23248,23725.0,23759,23716.0,23248,23627.0,23669,23630.0,23209,23645.0,23689,23651.0,23229,3885.0,2229,19.0,8,23664.0,23702,23670,23250,23874.0,23915,23876,23453,23637.0,23675,23641,23247,64351.0,47457,191,30,23818.0,23865,23826.0,23406,89.0,101,100.0,102
DMR_Fut_20131128,23803.0,23848,23821.0,23438,23870.0,23915,23838.0,23438,23794.0,23841,23821.0,23438,23865.0,23912,23838.0,23438,1743.0,1269,3.0,1,23887.0,23970,23970,23422,24020.0,24064,24024,23587,23885.0,23744,23720,23329,11323.0,52137,154,78,23942.0,23850,23811.0,23396,124.0,-15,-15.0,-10
DMR_Fut_20131129,,23856,,23828,,23879,,23828,,23830,,23815,,23846,,23815,,1144,,6,,23878,23884,23830,,23941,23960,23900,,23829,23860,23800,,31736,416,45,,23921,23942.0,23882,,71,,71
DMR_Fut_20131202,23918.0,23974,23915.0,23500,24000.0,24020,23958.0,23500,23907.0,23964,23915.0,23500,23999.0,24020,23958.0,23500,1614.0,10,4.0,2,23927.0,23976,23926,23472,24165.0,24181,24106,23695,23870.0,23898,23841,23427,55453.0,1512,165,70,24032.0,24052,23994.0,23571,111.0,110,112.0,107
DMR_Fut_20131203,24020.0,24033,23975.0,23550,24050.0,24045,23975.0,23550,23994.0,24024,23964.0,23549,24006.0,24033,23964.0,23549,1952.0,17,6.0,8,23897.0,23934,23844,23440,24015.0,24030,23960,23540,23820.0,23850,23800,23435,42479.0,1737,100,88,23908.0,23932,23874.0,23452,-124.0,-120,-120.0,-119
DMR_Fut_20131204,23907.0,23923,23850.0,23350,23912.0,23923,23850.0,23350,23754.0,23780,23725.0,23315,23794.0,23815,23761.0,23315,3094.0,45,30.0,8,23755.0,23701,23700,23218,23854.0,23875,23794,23380,23532.0,23570,23559,23100,59336.0,1253,163,76,23730.0,23751,23698.0,23275,-178.0,-181,-176.0,-177
DMR_Fut_20131205,23713.0,23730,23652.0,23242,23724.0,23730,23652.0,23242,23582.0,23606,23554.0,23162,23593.0,23616,23554.0,23162,3889.0,139,13.0,3,23600.0,23641,23640,23200,23728.0,23747,23693,23251,23550.0,23573,23536,23100,42667.0,540,93,49,23698.0,23719,23661.0,23248,-32.0,-32,-37.0,-27
DMR_Fut_20131206,23710.0,23730,23670.0,23273,23749.0,23760,23670.0,23273,23656.0,23680,23670.0,23273,23693.0,23719,23670.0,23273,2654.0,25,7.0,1,23633.0,23650,23625,23205,23861.0,23880,23815,23368,23610.0,23640,23590,23195,40177.0,597,121,20,23762.0,23785,23733.0,23311,64.0,66,72.0,63
DMR_Fut_20131209,23760.0,23785,23718.0,23330,23862.0,23881,23814.0,23400,23726.0,23765,23718.0,23277,23838.0,23860,23799.0,23380,4683.0,44,6.0,9,24038.0,24065,23975,23550,24048.0,24065,23990,23550,23764.0,23791,23755,23330,41936.0,289,421,71,23769.0,23794,23742.0,23317,7.0,9,9.0,6
DMR_Fut_20131210,23775.0,23798,23810.0,0,23839.0,23859,23810.0,0,23771.0,23798,23810.0,0,23839.0,23859,23810.0,0,1895.0,24,2.0,0,23799.0,23820,23789,23373,23848.0,23863,23805,23374,23726.0,23757,23709,23287,34385.0,422,176,6,23766.0,23792,23738.0,23316,-3.0,-2,-4.0,-1
DMR_Fut_20131211,23775.0,23778,23724.0,23270,23778.0,23800,23728.0,23270,23675.0,23705,23686.0,23237,23684.0,23725,23686.0,23237,2388.0,30,98.0,4,23750.0,23785,23700,23280,23764.0,23785,23700,23280,23259.0,23280,23233,22815,68331.0,2742,413,79,23346.0,23368,23321.0,22898,-420.0,-424,-417.0,-418
DMR_Fut_20131212,23344.0,23362,23353.0,22940,23401.0,23413,23371.0,22941,23320.0,23345,23347.0,22879,23330.0,23350,23364.0,22879,2416.0,35,9.0,4,23287.0,23264,23255,22801,23342.0,23350,23306,22826,23153.0,23177,23131,22707,50262.0,1112,281,57,23186.0,23208,23160.0,22738,-160.0,-160,-161.0,-160
DMR_Fut_20131213,23192.0,23214,23168.0,22720,23209.0,23214,23168.0,22720,23008.0,23030,23000.0,22567,23062.0,23075,23015.0,22610,4677.0,88,70.0,18,23035.0,23072,23000,22590,23328.0,23344,23281,22898,22993.0,23050,22980,22563,51175.0,1004,289,46,23240.0,23262,23210.0,22792,54.0,54,50.0,54
DMR_Fut_20131216,23257.0,23244,23218.0,22789,23257.0,23275,23218.0,22789,23155.0,23178,23160.0,22710,23164.0,23178,23160.0,22710,1911.0,77,4.0,4,23100.0,23138,23085,22655,23222.0,23233,23167,22698,22983.0,23000,22968,22550,52641.0,4366,653,120,23089.0,23108,23050.0,22637,-151.0,-154,-160.0,-155
DMR_Fut_20131217,23102.0,23168,23106.0,22721,23329.0,23345,23280.0,22874,23102.0,23146,23094.0,22719,23326.0,23345,23280.0,22874,2989.0,391,19.0,21,23252.0,23280,23172,22774,23259.0,23280,23190,22811,23010.0,23027,22985,22600,41452.0,1533,665,77,23062.0,23074,23023.0,22606,-27.0,-34,-27.0,-31
DMR_Fut_20131218,23053.0,23065,23012.0,22575,23097.0,23110,23041.0,22575,23005.0,23028,22983.0,22575,23041.0,23045,22983.0,22575,2321.0,43,22.0,2,23117.0,23100,23058,22618,23240.0,23250,23200,22760,22986.0,23007,22980,22600,42053.0,4673,112,8,23180.0,23199,23141.0,22728,118.0,125,118.0,122
DMR_Fut_20131219,23187.0,23210,23160.0,22751,23221.0,23230,23172.0,22753,23112.0,23132,23100.0,22711,23117.0,23146,23100.0,22711,2105.0,161,17.0,10,23388.0,23360,23345,22923,23415.0,23432,23370,22960,22719.0,22740,22689,22280,83019.0,14402,446,75,22833.0,22852,22794.0,22382,-347.0,-347,-347.0,-346
